,candidate_id,name,state,party,office,candidate_status,district,election_year,incumbent_challenge_full,has_raised_funds,amount_raised,amount_spent,cash_on_hand_end_period,debts_owed_by_committee,coverage_end_date,is_election,federal_funds_flag
0,H0CA47166,"MATHEWS, PETER",CA,DEMOCRATE,House,present-candidate,47,2020,Challenger,True,34851.24,17596.01,8664.25,8524.78,2020-06-30,True,False
1,H8OR05206,"NATIONS, JOEY",OR,REPUBLICAN,House,present-candidate,05,2020,Challenger,True,66282.87,66283.21,0.0,0.0,2020-08-04,True,False
2,H0AZ03461,"WOOD, DANIEL",AZ,REPUBLICAN,House,present-candidate,03,2020,Challenger,True,6205.0,4586.48,1618.52,0.0,2020-07-15,True,False
3,H4IN05112,"DAVIDSON, ALLEN RAY",IN,REPUBLICAN,House,not-yet-a-candidate,05,2020,Open seat,True,4162.19,4162.19,0.0,0.0,2020-06-30,True,False
4,H0NC11233,"CAWTHORN, DAVID MADISON",NC,REPUBLICAN,House,present-candidate,11,2020,Open seat,True,803058.0,638718.18,164339.82,330000.0,2020-06-30,True,False
5,H0LA01087,"SCALISE, STEVE MR",LA,REPUBLICAN,House,present-candidate,01,2020,Incumbent,True,26465821.77,20186896.9,8064424.38,0.0,2020-07-04,True,False
6,H0NY14304,"KHAN, BADRUN",NY,DEMOCRATE,House,present-candidate,14,2020,Challenger,True,68498.11,65923.52,5417.89,9000.0,2020-06-30,True,False
7,H0TX27087,"DE LA FUENTE, RICARDO",TX,DEMOCRATE,House,present-candidate,27,2020,Challenger,True,1153183.84,12197.41,1140986.43,1153125.0,2020-06-30,True,False
8,S0MN00294,"BARRETT, ROBERT PAUL MR JR.",MN,REPUBLICAN,Senate,present-candidate,00,2020,Challenger,True,35875.39,36267.05,4020.55,0.0,2020-06-30,True,False
9,H4NY18109,"SMITH, SCOTT A",NY,UNKNOWN,House,not-yet-a-candidate,18,2020,Challenger,True,1882.07,1614.7,447.02,6600.0,2020-06-30,True,False
10,H0TX04235,"WORTHEN, ROBERT",TX,REPUBLICAN,House,present-candidate,04,2020,Challenger,True,41023.0,41023.0,0.0,0.0,2020-08-12,True,False
11,H4CA30123,"RAB, AEJAZ (RAJI)",CA,DEMOCRATE,House,present-candidate,30,2020,Challenger,True,10000.0,12424.04,3439.88,137611.25,2020-06-30,True,False
12,H0IL03117,"FRICILONE, MIKE",IL,REPUBLICAN,House,present-candidate,03,2020,Challenger,True,49580.0,43236.36,6343.64,23000.0,2020-06-30,True,False
13,H0MD05258,"SAYERS, DOUGLAS MILLARD",MD,REPUBLICAN,House,present-candidate,05,2020,Challenger,True,6236.75,6236.75,0.0,0.0,2020-06-30,True,False
14,H8TX17149,"KENNEDY, RICHARD",TX,DEMOCRATE,House,present-candidate,17,2020,Open seat,True,97859.84,87125.69,12161.89,11953.07,2020-06-30,True,False
15,P00010108,"LEFFERT, AKIVA",US,DEMOCRATE,President,not-yet-a-candidate,00,2020,Challenger,True,1073.83,94.74,979.09,0.0,2020-03-31,True,False
16,H0CT05226,"HYDE, ROBERT FINLEY",CT,REPUBLICAN,House,present-candidate,05,2020,Challenger,True,28165.96,28764.72,0.0,0.0,2020-05-22,True,False
17,H4NY11138,"CLARKE, YVETTE  D.",NY,DEMOCRATE,House,present-candidate,09,2020,Incumbent,True,968767.57,946499.65,83964.63,147508.91,2020-06-30,True,False
18,H0CT03163,"PAGLINO, JUSTIN COBB DR MD, PHD",CT,GREEN PARTY,House,not-yet-a-candidate,03,2020,Challenger,True,4860.02,2827.77,2032.25,3000.0,2020-06-30,True,False
19,H0FL16094,"GOOD, MARGARET ELIZABETH ROWELL",FL,DEMOCRATE,House,present-candidate,16,2020,Challenger,True,1799164.99,757792.07,1041372.92,0.0,2020-07-29,True,False
20,H8FL06148,"WALTZ, MICHAEL",FL,REPUBLICAN,House,present-candidate,06,2020,Incumbent,True,1729991.37,929503.59,852049.19,430000.0,2020-07-29,True,False
21,H0FL19247,"KOWAL, DANIEL",FL,REPUBLICAN,House,present-candidate,19,2020,Open seat,True,59600.0,39912.37,19687.63,50000.0,2020-07-29,True,False
